canonical_id,stage,score,source_file
ATP-HTVS-50911053B2F5,HTVS,-3.33938604182549,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-50911053B2F5,HTVS,-2.31178056723853,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-50DD7346FE25,HTVS,-4.03709772507433,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-50DD7346FE25,HTVS,-2.73138778776548,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-510C24ACBA66,HTVS,-2.16502644605714,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-510C24ACBA66,HTVS,-0.0513333303338521,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-512766A3F074,HTVS,-2.05307596639122,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-512766A3F074,HTVS,-0.304726922852251,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-512BF8EF5FA0,HTVS,-2.30799305500322,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-512DB2E888C1,HTVS,-5.17019705043283,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-514A7FD93F10,HTVS,-3.19134530307272,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
