profile,compound_id,historical_alias,rank,central_rank,final_score,mean_rank,p_top3,p_top5
balanced,ATP-HTVS-3A71FF84034D,20131,,,,,,
balanced,ATP-HTVS-3A7288617524,95746,,,,,,
balanced,ATP-HTVS-3A96A568DDAE,89089,,,,,,
balanced,ATP-HTVS-3AF3BD852D4F,90753,,,,,,
balanced,ATP-HTVS-3B1236037689,83073,,,,,,
balanced,ATP-HTVS-3B2E01AF7BF8,38881,,,,,,
balanced,ATP-HTVS-3B360A484FEF,85474,,,,,,
balanced,ATP-HTVS-3B3954EE8C13,84897,,,,,,
balanced,ATP-HTVS-3B500C8F5D3A,77442,,,,,,
balanced,ATP-HTVS-3B52AE15A314,74081,,,,,,
balanced,ATP-HTVS-3B591F4F1DA1,4259,,,,,,
balanced,ATP-HTVS-3B615F85BA41,73953,,,,,,
balanced,ATP-HTVS-3B760C3B8D5C,71811,,,,,,
balanced,ATP-HTVS-3B9AE635146A,63874,,,,,,
balanced,ATP-HTVS-3BC1681A99C2,35363,,,,,,
balanced,ATP-HTVS-3BCB6D34D9FC,82627,,,,,,
balanced,ATP-HTVS-3BEA167C6DE4,61442,,,,,,
balanced,ATP-HTVS-3BFEB00B17A1,96386,,,,,,
balanced,ATP-HTVS-3C30D082388E,37539,,,,,,
balanced,ATP-HTVS-3C5237794D05,44097,,,,,,
balanced,ATP-HTVS-3D55EC2CCC26,92001,,,,,,
balanced,ATP-HTVS-3D580430A1F8,89410,,,,,,
balanced,ATP-HTVS-3D9456613EE7,71427,,,,,,
balanced,ATP-HTVS-3DA95123E47A,56993,,,,,,
balanced,ATP-HTVS-3DABA9A3BF24,35619,,,,,,
balanced,ATP-HTVS-3DB1B8B928B3,68034,,,,,,
balanced,ATP-HTVS-3DDAC51E87DA,72514,,,,,,
balanced,ATP-HTVS-3E3A2065ACC9,14370,,,,,,
balanced,ATP-HTVS-3E4E6B1035DE,50531,,,,,,
balanced,ATP-HTVS-3E51FD2FD256,56033,,,,,,
balanced,ATP-HTVS-3E71027F124F,67650,,,,,,
balanced,ATP-HTVS-3E71DFC624D6,82465,,,,,,
balanced,ATP-HTVS-3EAEA7611BE9,52738,,,,,,
balanced,ATP-HTVS-3ED7BF8E1128,59586,,,,,,
balanced,ATP-HTVS-3F61FE181838,65473,,,,,,
balanced,ATP-HTVS-3F7C0C4A7C85,44483,,,,,,
balanced,ATP-HTVS-3FE2C8D8A747,85473,,,,,,
balanced,ATP-HTVS-3FE3F52D89A6,78210,,,,,,
balanced,ATP-HTVS-3FEB13A0176D,79265,,,,,,
balanced,ATP-HTVS-4019997F6E4F,28866,,,,,,
balanced,ATP-HTVS-403847D949CB,95233,,,,,,
balanced,ATP-HTVS-4042CFA848C2,91587,,,,,,
balanced,ATP-HTVS-404DE520584C,71713,,,,,,
balanced,ATP-HTVS-40806E2DA49D,71074,,,,,,
balanced,ATP-HTVS-40CB5FD4F4D8,94114,,,,,,
balanced,ATP-HTVS-40E764CABCB1,58370,,,,,,
balanced,ATP-HTVS-410A75CF1522,26210,,,,,,
balanced,ATP-HTVS-41202D3CA1C8,23139,,,,,,
balanced,ATP-HTVS-4128F66E5F96,34562,,,,,,
balanced,ATP-HTVS-418CD17BC8B0,70595,,,,,,
balanced,ATP-HTVS-41A031E7C6D2,27299,,,,,,
balanced,ATP-HTVS-41C13ED6AFFD,83554,,,,,,
balanced,ATP-HTVS-41DBD56D77D4,56386,,,,,,
balanced,ATP-HTVS-41DE369552E3,91201,,,,,,
balanced,ATP-HTVS-41DF5C276515,95649,,,,,,
balanced,ATP-HTVS-41EB9DEAB7C9,91683,,,,,,
balanced,ATP-HTVS-420A833C3906,29570,,,,,,
balanced,ATP-HTVS-425F81D77C05,85634,,,,,,
balanced,ATP-HTVS-429B4D57A2D0,56417,,,,,,
balanced,ATP-HTVS-42E232F3C181,95425,,,,,,
balanced,ATP-HTVS-4313C7EF8265,78307,,,,,,
balanced,ATP-HTVS-43145D4CE45B,93187,,,,,,
balanced,ATP-HTVS-4322FF013EE1,94306,,,,,,
balanced,ATP-HTVS-433854F3CEDF,69123,,,,,,
balanced,ATP-HTVS-4340E5ABA707,45635,,,,,,
balanced,ATP-HTVS-4382948120BD,74115,,,,,,
balanced,ATP-HTVS-43D1BB82511C,88481,,,,,,
balanced,ATP-HTVS-43DC0EBD36ED,75233,,,,,,
balanced,ATP-HTVS-43DEA6C9D172,31907,,,,,,
balanced,ATP-HTVS-43E54E69D2FC,49761,,,,,,
balanced,ATP-HTVS-440AFC8B752D,31650,,,,,,
balanced,ATP-HTVS-4415AB646F99,82497,,,,,,
balanced,ATP-HTVS-4418320CDB75,92835,,,,,,
balanced,ATP-HTVS-442C36D59863,49602,,,,,,
balanced,ATP-HTVS-443BC3733DB7,97250,,,,,,
balanced,ATP-HTVS-445D8195943B,74209,,,,,,
balanced,ATP-HTVS-44A2C719C105,82307,,,,,,
balanced,ATP-HTVS-44A5767B4738,74882,,,,,,
balanced,ATP-HTVS-44ACC7CEC3D6,83425,,,,,,
balanced,ATP-HTVS-44DE29768EEE,17571,,,,,,
