canonical_id,canonical_smiles,glide_docking_score,structure_valid,ligand_prepared,vina_available,pose_qc_pass,failure_category,failure_reason,terminal_status
ATP-HTVS-15FA43506D9E,CC[N@@H+](Cc1ccc(C[NH+](C)C)cc1)Cc1cn(Cc2ccccc2)nc1-c1cccnc1,-4.32346194669473,True,True,True,True,,,success
ATP-HTVS-16140744D8E5,Cc1ccc(CN2C(=O)c3ccccc3N[C@H]2c2ccccc2I)cc1,-3.44500000443843,True,True,True,True,,,success
ATP-HTVS-16316C23D1E4,CC[NH+](CC)Cc1ccc(CNc2cnc3ccccc3c2NC(=O)CN(C)c2ccccc2)cc1,-3.9335371092757,True,True,True,True,,,success
ATP-HTVS-167535894C2D,CN(Cc1ccc(N)[nH+]c1)c1nc2ccccc2nc1NCCc1ccc(C[NH+](C)C)cc1,-4.2337937922233,True,True,True,True,,,success
ATP-HTVS-169071BECF96,Cc1cccc(Cl)c1C(=O)Nc1cnc2ccccc2c1N(CC#N)c1ccccc1,-3.45555133972806,True,True,True,True,,,success
ATP-HTVS-16A35D40F1B5,COC[C@H](Nc1nc(NCc2ccc(F)c(C[NH+](C)C)c2)nc2ccccc12)c1ccccc1,-2.22015345546122,True,True,True,True,,,success
ATP-HTVS-16AC68300479,CN(C(=O)c1sc2cc(F)ccc2c1NCc1ccc(C[NH+](C)C)cc1)c1cccc(O)c1,-3.75054118131307,True,True,True,True,,,success
ATP-HTVS-16D62B7C6E45,C[NH+](C)Cc1ccc(Nc2nc(CO)ccc2OCc2ccccc2)cc1,-4.29624229911156,True,True,True,True,,,success
ATP-HTVS-16D892EEAEA4,C[NH+](C)Cc1ccccc1C(=O)Nc1c[nH+]c2ccccc2c1NCCSc1ccccc1,-4.95125760465499,True,True,True,True,,,success
ATP-HTVS-1714ADEB4D31,C[C@H](NCC#Cc1c(NC(=O)c2ccccc2O)cnc2ccccc12)c1ccc(F)cc1,-3.77942895653008,True,True,True,True,,,success
ATP-HTVS-17511F2B790B,C[NH+](C)Cc1ccc(CCNc2nc(NCc3ccc(N)cc3Cl)[nH+]c3ccccc23)cc1,-3.92368364209873,True,True,True,True,,,success
ATP-HTVS-1776C87C4427,C[NH+](C)Cc1ccc(CNc2cc(NC(=O)C#Cc3ccccc3)ncc2F)cc1,-4.07652503564157,True,True,True,True,,,success
ATP-HTVS-17940C77D749,C#C[C@H](c1ccccc1Cl)N1CC(=O)Nc2ccccc2[C@H]1c1ccccc1,-1.41615362191532,True,True,True,True,,,success
ATP-HTVS-17A38785E483,O=C1c2ccccc2[C@@H](C[NH2+]Cc2ccc(CCF)cc2)N1Cc1ccccc1,-4.82600227547684,True,True,True,True,,,success
