canonical_id,vina_affinity,glide_docking_score,vina_rank,glide_rank,rank_delta,abs_rank_delta,disagreement_class,scaffold
ATP-HTVS-CDA0FA66D084,-8.425,-3.76343356077996,487,1117,-630,630,vina_favored,O=C(Cc1ccccc1)Nc1[nH+]cc(NCc2ccccc2)c2ccccc12
ATP-HTVS-4D1ED9B826E8,-8.134,-3.09401990408603,733,1361,-628,628,vina_favored,O=C(NCCc1ccccc1)c1cc(=O)c2ccccc2n1CCc1ccccc1
ATP-HTVS-E27332E37A66,-6.193,-4.06971303384061,1539,911,628,628,glide_favored,O=C(Cc1ccccc1)Nc1nc2ccccc2cc1NCc1ccccc1
ATP-HTVS-66A9CC424D71,-7.422,-4.54344253054898,1200,573,627,627,glide_favored,c1ccc(C[NH2+]Cc2csc(COc3ccccc3)n2)cc1
ATP-HTVS-4991CDEEDD30,-7.878,-4.93109589081269,951,324,627,627,glide_favored,C(#CC([NH2+]Cc1ccccc1)c1cc2ccccc2o1)c1ccccc1
ATP-HTVS-1B366D2FDBBA,-8.419,-3.7617370020744,492,1118,-626,626,vina_favored,O=C(Nc1c(NCc2ccccc2)c[nH+]c2ccccc12)c1ccccc1
ATP-HTVS-CA6523C86104,-8.074,-5.36272096910221,780,154,626,626,glide_favored,c1ccc(C[NH2+]Cc2csc(Nc3ccccc3)n2)cc1
ATP-HTVS-3A4856D72337,-8.836,-4.20593604890683,207,831,-624,624,vina_favored,O=C(Nc1nc2ccccc2cc1NCc1ccccc1)c1ccccc1
ATP-HTVS-524A2C000135,-8.201,-3.33972778406477,678,1302,-624,624,vina_favored,c1ccc(CNCc2c(-c3ccccc3)nc3ccccn23)cc1
ATP-HTVS-CEA6734F7F3C,-6.8,-4.2522223659495,1422,798,624,624,glide_favored,O=c1c2ccccc2nc(-c2ccccc2)n1Cc1ccccc1
ATP-HTVS-17A38785E483,-7.784,-4.82600227547684,1013,389,624,624,glide_favored,O=C1c2ccccc2C(C[NH2+]Cc2ccccc2)N1Cc1ccccc1
ATP-HTVS-C615FEE5992B,-8.184,-5.76824194553614,688,65,623,623,glide_favored,c1ccc(-c2cc(C[NH2+]Cc3cccnc3)nc3ccccc23)cc1
ATP-HTVS-6C953A1E72F9,-7.97,-5.08175360039616,875,252,623,623,glide_favored,O=C(NCc1sc2ccccc2c1NCCc1ccccc1)c1ccccc1
ATP-HTVS-CB3E61D945F3,-7.985,-5.11977045755017,858,235,623,623,glide_favored,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1
ATP-HTVS-E7DA22DA6C24,-8.718,-4.08974936083922,273,895,-622,622,vina_favored,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1
ATP-HTVS-E8F6FC3C759E,-8.139,-5.59610293047994,729,107,622,622,glide_favored,O=C(Nc1ccccc1)c1sc2ccccc2c1NCc1ccccc1
ATP-HTVS-651F2B2980F4,-8.113,-5.47772488910743,751,129,622,622,glide_favored,c1ccc(C[NH2+]CC(c2cccs2)c2c[nH]c3ccccc23)cc1
ATP-HTVS-9AD82B0B5D2D,-9.608,-4.44533651227417,32,654,-622,622,vina_favored,O=C(Cc1ccccc1)Nc1ncc(C#CCNCc2ccccc2)c2ccccc12
ATP-HTVS-ADC6A568E437,-8.114,-5.4809890158961,750,128,622,622,glide_favored,O=C(Cc1ccccc1)Nc1ccc(NCc2ccccc2)c[nH+]1
ATP-HTVS-DBCC5241A393,-9.033,-4.3403287678026,116,737,-621,621,vina_favored,O=C(NCCc1ccccc1)c1cn(Cc2ccccc2)c(=O)c2ccccc12
ATP-HTVS-C74806D7CD52,-8.812,-4.2029284089822,215,834,-619,619,vina_favored,c1ccc(CCNc2nc(NCc3ccccc3)[nH+]c3ccccc23)cc1
ATP-HTVS-81F0F4B0A07A,-7.37,-4.49149454506483,1235,617,618,618,glide_favored,c1ccc(C[NH2+]Cc2c[nH]nc2OCc2ccccc2)cc1
ATP-HTVS-0A8D2667A5C6,-8.232,-3.43908277029645,655,1273,-618,618,vina_favored,O=C(Cc1ccccc1)Nc1c(NCc2ccccc2)cnc2ccccc12
ATP-HTVS-8EDB8C766CED,-8.188,-3.34082382228686,684,1301,-617,617,vina_favored,O=C(Nc1ccccc1)c1cc(NCc2ccccc2)cs1
ATP-HTVS-D45BC7EA8057,-8.77,-4.16539956201146,242,859,-617,617,vina_favored,O=C(Nc1nc2ccccc2cc1NCc1ccccc1)c1ccccc1
ATP-HTVS-D7583D638CF7,-8.263,-6.28779750813501,631,14,617,617,glide_favored,O=C(NCc1ccccc1)c1[nH]c2ccccc2c1C#CCOc1ccccc1
ATP-HTVS-14AE04B6952B,-9.87,-4.47370169161169,17,632,-615,615,vina_favored,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1
ATP-HTVS-0CC0B448CED2,-8.736,-4.12199800493643,263,878,-615,615,vina_favored,c1ccc(-n2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3cccnc3)n2)cc1
ATP-HTVS-464DF81034BD,-8.224,-5.9427851521281,661,46,615,615,glide_favored,O=C(Nc1ccccc1)c1sc2ncccc2c1NCc1ccccc1
ATP-HTVS-518A2BC6902B,-7.436,-4.53556201259022,1192,577,615,615,glide_favored,c1ccc(C[NH2+]Cc2cn(-c3ccccc3)nn2)cc1
ATP-HTVS-9A75570B0E27,-7.502,-4.5760706909973,1157,543,614,614,glide_favored,O=C(NCc1ccccc1)c1cc(Nc2ccccc2)cs1
ATP-HTVS-ED186549DA4C,-9.265,-4.41724015866286,63,677,-614,614,vina_favored,O=C(CCc1ccc2c(c1)OCO2)Nc1nc2ccccc2cc1NCc1ccccc1
ATP-HTVS-569AAE7497B4,-8.722,-4.11476854006704,268,881,-613,613,vina_favored,c1ccc(CNc2nc3ccccc3nc2NCc2ccccc2)cc1
ATP-HTVS-24E588DA0D03,-7.562,-4.62906080972694,1122,510,612,612,glide_favored,O=C(Nc1c[nH+]c2ccccc2c1NCc1ccccc1)c1ccccc1
ATP-HTVS-58BA49956E55,-8.105,-3.01212044077228,761,1372,-611,611,vina_favored,c1ccc(CNc2nc3ccccc3nc2NCc2ccccc2)cc1
ATP-HTVS-5C08F16C0BFC,-7.786,-0.740346838781324,1011,1622,-611,611,vina_favored,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1
ATP-HTVS-AB6A0F8FBF12,-7.075,-4.33841653766758,1349,739,610,610,glide_favored,c1ccc(C[NH2+]Cc2cn(Cc3ccccc3)nc2-c2ccccc2)cc1
ATP-HTVS-5E1B9EFD9407,-9.282,-4.43349458355397,60,667,-607,607,vina_favored,O=C(Cc1ccccc1)Nc1c(C#CCNCc2ccccc2)cnc2ccccc12
ATP-HTVS-906C5B8F4575,-8.033,-2.60771824273476,816,1423,-607,607,vina_favored,c1ccc(CC[NH2+]Cc2ccc(COc3ccccc3)o2)cc1
ATP-HTVS-DB94924E5291,-8.77,-4.17672555543197,242,849,-607,607,vina_favored,O=C(Nc1ccc(Cc2ccccc2)c(-c2ccccc2)c1)c1ccccc1
ATP-HTVS-E5267662EBE5,-8.308,-3.62888426083183,587,1193,-606,606,vina_favored,O=C(Nc1c(NCc2ccccc2)cnc2ccccc12)c1ccccc1
ATP-HTVS-15FA43506D9E,-7.039,-4.32346194669473,1354,748,606,606,glide_favored,c1ccc(C[NH2+]Cc2cn(Cc3ccccc3)nc2-c2cccnc2)cc1
ATP-HTVS-6A7606C4C92F,-7.094,-4.34154304727115,1341,735,606,606,glide_favored,O=C(Nc1c(-c2ccccc2)cnc2ccccc12)c1ccccc1
ATP-HTVS-425F81D77C05,-7.546,-4.60340827905249,1132,526,606,606,glide_favored,O=C(Nc1nc2ccccc2cc1Nc1ccccc1)c1ccccc1
ATP-HTVS-203210320F32,-8.328,-3.67749536382082,566,1171,-605,605,vina_favored,O=C(Nc1ncc(NCc2ccccc2)c2ccccc12)c1cccc(C2CC2)c1
ATP-HTVS-B99F6A8D80C4,-5.853,-3.96977830419514,1576,971,605,605,glide_favored,O=C(CNC(C#CCNCc1ccccc1)c1csc2ccccc12)c1ccccc1
ATP-HTVS-91FB2566E9C6,-8.293,-3.60648204518161,603,1206,-603,603,vina_favored,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1
ATP-HTVS-E53927646B4E,-8.924,-4.30726377424627,158,761,-603,603,vina_favored,O=C1c2ccccc2C(C[NH2+]Cc2ccccc2)N1Cc1ccccc1
ATP-HTVS-60B21D6CE655,-8.199,-3.42210988009747,680,1281,-601,601,vina_favored,O=C(NCc1ccccc1)c1cc(-c2ccccc2)nc2ccccc12
ATP-HTVS-FAA4B7BBA523,-9.199,-4.42208158051949,73,673,-600,600,vina_favored,O=C(Nc1ccccc1)Nc1cc(-c2ccccc2)nc2ccccc12
ATP-HTVS-72B2F4D4EA61,-7.89,-4.91391215989633,939,340,599,599,glide_favored,C(#CC(NCc1ccccc1)c1cc2ccccc2o1)c1ccccc1
ATP-HTVS-EE9B34D8B24D,-7.966,-5.010070405463,880,283,597,597,glide_favored,c1ccc(CNc2nc(-c3ccccc3)cs2)cc1
ATP-HTVS-EC5DC094D49F,-8.535,-3.95306964923428,382,978,-596,596,vina_favored,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1
ATP-HTVS-531A4B252985,-7.036,-4.3066981691611,1356,762,594,594,glide_favored,O=C(Nc1c[nH+]c2ccccc2c1NCc1ccccc1)c1ccccc1
ATP-HTVS-96C7A2856398,-8.476,-3.90880903018788,425,1019,-594,594,vina_favored,c1ccc(C(C[NH2+]Cc2cn(-c3ccccc3)nc2-c2ccncc2)N2CCCC2)cc1
