canonical_id,protocol_uncertainty,model_uncertainty,model_disagreement_if_available,model_uncertainty_status,objective_uncertainty,evidence_uncertainty,chemical_space_uncertainty,combined_available_uncertainty,uncertainty_available_components,uncertainty_dominant_source,distance_to_decision_boundary
ATP-HTVS-132BACAA4698,0.6115196078431373,,,not_available_no_comparable_full_library_model_outputs,0.19780343104311532,0.1428571428571429,0.29974913192605823,0.31298232841736345,4,protocol,822.0
ATP-HTVS-134FC0CB3694,0.14154411764705882,,,not_available_no_comparable_full_library_model_outputs,0.1676024976632131,0.1428571428571429,0.4655941855608345,0.22939948593206233,4,chemical_space,322.5
ATP-HTVS-1356F7D69808,0.22181372549019607,,,not_available_no_comparable_full_library_model_outputs,0.16541203941364693,0.1428571428571429,1.0,0.38252072694024647,4,chemical_space,139.0
ATP-HTVS-1373BD200FA0,0.27267156862745096,,,not_available_no_comparable_full_library_model_outputs,0.25881719913361884,0.1428571428571429,0.7741284623457786,0.3621185932409978,4,chemical_space,380.5
ATP-HTVS-1377A1139B97,0.2702205882352941,,,not_available_no_comparable_full_library_model_outputs,0.25303139526468293,0.1428571428571429,0.6363033379844186,0.3256031160853846,4,chemical_space,149.5
ATP-HTVS-138C9DBD3419,0.5765931372549019,,,not_available_no_comparable_full_library_model_outputs,0.3055951952708197,0.1428571428571429,1.0,0.5062613688457162,4,chemical_space,699.5
ATP-HTVS-13A5AE9C2B6A,0.6311274509803921,,,not_available_no_comparable_full_library_model_outputs,0.2710111097331197,0.1428571428571429,0.9217811058289642,0.49169420234990474,4,chemical_space,496.0
ATP-HTVS-1402A7ED8177,0.22487745098039216,,,not_available_no_comparable_full_library_model_outputs,0.15930108101481397,0.1428571428571429,0.6820584579223512,0.30227353319367506,4,chemical_space,344.5
ATP-HTVS-143D46541936,0.17340686274509803,,,not_available_no_comparable_full_library_model_outputs,0.3020628498843637,0.1428571428571429,0.3641169158447024,0.24561094283282675,4,chemical_space,1083.5
ATP-HTVS-1449F4F4BA71,0.9332107843137255,,,not_available_no_comparable_full_library_model_outputs,0.4303204778344201,0.1428571428571429,1.0,0.6265971012513222,4,chemical_space,681.5
ATP-HTVS-14724C615932,0.04779411764705882,,,not_available_no_comparable_full_library_model_outputs,0.42621940369724653,0.1428571428571429,1.0,0.4042176660503621,4,chemical_space,1258.0
ATP-HTVS-14AE04B6952B,0.37683823529411764,,,not_available_no_comparable_full_library_model_outputs,0.24961428032459554,0.1428571428571429,0.33849624626442276,0.2769514761850697,4,protocol,224.5
ATP-HTVS-14BA2D75CE49,0.41605392156862747,,,not_available_no_comparable_full_library_model_outputs,0.28698572777758846,0.1428571428571429,0.8435622116579284,0.4223647509653218,4,chemical_space,790.5
ATP-HTVS-1551732D1515,0.011642156862745098,,,not_available_no_comparable_full_library_model_outputs,0.20864638516243983,0.1428571428571429,0.6501544482368102,0.2533250332797845,4,chemical_space,933.5
ATP-HTVS-159795FE363C,0.09865196078431372,,,not_available_no_comparable_full_library_model_outputs,0.2709270382609488,0.1428571428571429,0.5323188378030038,0.26118874492635236,4,chemical_space,7.5
ATP-HTVS-159959ECB567,0.03799019607843137,,,not_available_no_comparable_full_library_model_outputs,0.24511164840268176,0.1428571428571429,0.13029711538724237,0.1390640256813746,4,objective,106.0
ATP-HTVS-159CD8CCFA6D,0.5459558823529411,,,not_available_no_comparable_full_library_model_outputs,0.3146659951730977,0.1428571428571429,0.318281443473209,0.3304401159640977,4,protocol,486.5
ATP-HTVS-159F0F821AF9,0.1482843137254902,,,not_available_no_comparable_full_library_model_outputs,0.08845392390366641,0.1428571428571429,0.49493403460649427,0.21863235377319845,4,chemical_space,678.0
ATP-HTVS-15A0030054C0,0.34987745098039214,,,not_available_no_comparable_full_library_model_outputs,0.18363170507618035,0.1428571428571429,0.6120399621845001,0.32210156527455386,4,chemical_space,403.5
ATP-HTVS-15F2A5DBBD51,0.6917892156862745,,,not_available_no_comparable_full_library_model_outputs,0.31603326915022334,0.1428571428571429,0.7520519717820633,0.47568289986892603,4,chemical_space,531.5
ATP-HTVS-15FA43506D9E,0.3713235294117647,,,not_available_no_comparable_full_library_model_outputs,0.18841107042068508,0.1428571428571429,1.0,0.42564793567239817,4,chemical_space,951.0
ATP-HTVS-16140744D8E5,0.13174019607843138,,,not_available_no_comparable_full_library_model_outputs,0.34365643455933914,0.1428571428571429,0.6145863049827445,0.30821001961941447,4,chemical_space,1277.5
ATP-HTVS-16316C23D1E4,0.13725490196078433,,,not_available_no_comparable_full_library_model_outputs,0.3572671639049142,0.1428571428571429,0.760277352093387,0.3494141402040571,4,chemical_space,784.0
ATP-HTVS-167535894C2D,0.14644607843137256,,,not_available_no_comparable_full_library_model_outputs,0.11679535582567445,0.1428571428571429,1.0,0.35152464427854746,4,chemical_space,594.5
ATP-HTVS-169071BECF96,0.07965686274509803,,,not_available_no_comparable_full_library_model_outputs,0.24853616196369463,0.1428571428571429,0.6189080487154627,0.2724895540703496,4,chemical_space,1231.0
ATP-HTVS-16A35D40F1B5,0.8768382352941176,,,not_available_no_comparable_full_library_model_outputs,0.505678727664665,0.1428571428571429,0.7195881975489601,0.5612405758412214,4,protocol,665.5
ATP-HTVS-16AC68300479,0.1881127450980392,,,not_available_no_comparable_full_library_model_outputs,0.3504011811440692,0.1428571428571429,0.6738330776110275,0.33880103667756967,4,chemical_space,1180.5
