canonical_id,compound_code,vina_rank,glide_rank,rank_consensus,normalized_rank_variance,rank_entropy,protocol_disagreement_score,consensus_strength
ATP-HTVS-C4C9929F3284,78403,14,382,198.0,0.012711457131872357,1.0,0.22549019607843138,0.8792892156862746
ATP-HTVS-61A3D13E339F,4770,99,299,199.0,0.00375456555171088,1.0,0.12254901960784313,0.8786764705882353
ATP-HTVS-8667D2FB5617,48353,163,237,200.0,0.0005140000240292195,1.0,0.04534313725490196,0.8780637254901961
ATP-HTVS-D18D68753065,80611,113,289,201.0,0.002907535563244906,1.0,0.10784313725490197,0.8774509803921569
ATP-HTVS-7CD79F872AFC,67937,107,305,206.0,0.0036798496972318337,1.0,0.1213235294117647,0.8743872549019608
ATP-HTVS-159959ECB567,70723,237,175,206.0,0.00036081374951941553,0.0,0.03799019607843137,0.8743872549019608
ATP-HTVS-02527EDCA73D,62593,198,214,206.0,2.4029219530949635e-05,0.0,0.00980392156862745,0.8743872549019608
ATP-HTVS-B7334B97F240,76226,191,227,209.0,0.00012164792387543255,0.0,0.022058823529411766,0.8725490196078431
ATP-HTVS-A53B334F5824,50977,364,58,211.0,0.0087890625,1.0,0.1875,0.8713235294117647
ATP-HTVS-49D68E9248AF,44739,347,81,214.0,0.006641451004421377,1.0,0.16299019607843138,0.869485294117647
ATP-HTVS-7DE5D821A3A4,82179,259,172,215.5,0.0007104576665224913,0.0,0.05330882352941176,0.8685661764705883
ATP-HTVS-85E208BF5C05,38787,83,350,216.5,0.006691480590397924,1.0,0.1636029411764706,0.867953431372549
ATP-HTVS-47A17AC8C7BD,41059,150,286,218.0,0.001736111111111111,1.0,0.08333333333333333,0.8670343137254902
ATP-HTVS-3C5237794D05,44097,184,253,218.5,0.0004468871647923876,0.0,0.042279411764705885,0.8667279411764706
ATP-HTVS-0F3A12BD04AB,91361,402,38,220.0,0.012436622933487122,1.0,0.22303921568627452,0.8658088235294117
ATP-HTVS-512DB2E888C1,97313,234,208,221.0,6.345215782391387e-05,0.0,0.015931372549019607,0.8651960784313726
ATP-HTVS-96035055C171,32801,388,56,222.0,0.010346080834294502,1.0,0.2034313725490196,0.8645833333333334
ATP-HTVS-8843DC2573F9,5091,52,395,223.5,0.011043022064830835,1.0,0.21017156862745098,0.8636642156862745
ATP-HTVS-5BE3914F361A,91171,361,89,225.0,0.006944444444444444,1.0,0.16666666666666666,0.8627450980392157
ATP-HTVS-ACBE41267A18,4290,383,73,228.0,0.00902034373798539,1.0,0.18995098039215685,0.860906862745098
ATP-HTVS-D839BC34DAE7,4771,80,377,228.5,0.008279661818771626,1.0,0.18198529411764705,0.8606004901960784
ATP-HTVS-51861E5F66D2,67938,90,370,230.0,0.007358948481353326,1.0,0.1715686274509804,0.8596813725490196
ATP-HTVS-1356F7D69808,27907,58,420,239.0,0.012300332203960014,1.0,0.22181372549019607,0.8541666666666667
ATP-HTVS-67024B617AFA,96930,228,250,239.0,4.543024317570166e-05,0.0,0.013480392156862746,0.8541666666666666
ATP-HTVS-65263582E7F4,36450,57,427,242.0,0.012850000600730488,1.0,0.2267156862745098,0.852328431372549
ATP-HTVS-18A7589C7FB7,94049,1,489,245.0,0.022353181468665898,1.0,0.29901960784313725,0.8504901960784313
ATP-HTVS-AE2593E94038,97890,21,471,246.0,0.019007488105536336,1.0,0.2757352941176471,0.8498774509803921
ATP-HTVS-9967BD998929,72578,197,296,246.5,0.0009199624243079584,0.0,0.06066176470588235,0.8495710784313726
ATP-HTVS-1377A1139B97,96002,29,470,249.5,0.01825479157655709,1.0,0.2702205882352941,0.8477328431372548
ATP-HTVS-9A3A5E055FE2,67235,224,280,252.0,0.0002943579392541331,0.0,0.03431372549019608,0.8462009803921569
ATP-HTVS-05A72EDFB57A,38883,463,45,254.0,0.016400317786428295,1.0,0.25612745098039214,0.8449754901960784
ATP-HTVS-5BF5224E50DC,52739,308,201,254.5,0.0010746505250384469,0.0,0.06556372549019608,0.8446691176470589
ATP-HTVS-842E20B26D61,12419,18,498,258.0,0.021626297577854673,1.0,0.29411764705882354,0.8425245098039216
ATP-HTVS-9DA78F477298,97857,209,310,259.5,0.0009575080798250674,0.0,0.061887254901960786,0.8416053921568627
ATP-HTVS-531EE93584A6,1955,106,419,262.5,0.009195775813389082,1.0,0.19178921568627452,0.8397671568627452
ATP-HTVS-CE83EECF0A09,37763,342,187,264.5,0.0022550859344963475,1.0,0.09497549019607843,0.8385416666666666
ATP-HTVS-985FC5CCBDCC,91523,451,78,264.5,0.013059223766099576,1.0,0.22855392156862744,0.8385416666666667
ATP-HTVS-64F4A1A461ED,76035,360,174,267.0,0.00324732374567474,1.0,0.11397058823529412,0.8370098039215687
ATP-HTVS-C7A4A85DE6AC,94051,69,465,267.0,0.014719398788927335,1.0,0.2426470588235294,0.8370098039215687
ATP-HTVS-A257C47BE0F3,3587,36,504,270.0,0.020558499134948095,1.0,0.2867647058823529,0.835171568627451
ATP-HTVS-08590B5C6743,87873,192,352,272.0,0.0024029219530949633,1.0,0.09803921568627451,0.8339460784313726
ATP-HTVS-2A6980A94AB8,12579,270,274,272.0,1.5018262206843522e-06,0.0,0.0024509803921568627,0.8339460784313726
ATP-HTVS-FACA1D344F25,57537,141,409,275.0,0.006741697904652057,1.0,0.1642156862745098,0.8321078431372548
ATP-HTVS-6227313DC6E5,72418,412,139,275.5,0.006995600400086504,1.0,0.16727941176470587,0.8318014705882353
